tweet_id,rt_count,f_count
693155686491000832,3074,7607
693231807727280129,712,2774
693262851218264065,475,2135
693280720173801472,1192,3235
693486665285931008,605,1706
693590843962331137,1872,4862
693622659251335168,357,1477
693629975228977152,763,2359
693642232151285760,397,2459
693647888581312512,560,2595
693942351086120961,351,1690
694001791655137281,981,3283
694183373896572928,893,2843
694206574471057408,1953,4013
694329668942569472,482,1929
694352839993344000,586,1965
694669722378485760,13745,34521
694905863685980160,896,2656
695051054296211456,765,2564
695064344191721472,564,1543
695074328191332352,1053,2743
695095422348574720,589,2552
695314793360662529,1392,3497
695409464418041856,3435,8368
695446424020918272,1743,4258
695629776980148225,2007,4407
695794761660297217,739,3055
695816827381944320,1105,2907
696405997980676096,1113,3090
696488710901260288,984,2426
696713835009417216,621,2291
696754882863349760,347,1431
696877980375769088,685,2365
696886256886657024,1719,4674
696894894812565505,652,2258
696900204696625153,982,3063
697242256848379904,643,2441
697255105972801536,1108,2963
697259378236399616,962,3182
697270446429966336,1808,4546
697482927769255936,640,2340
697575480820686848,482,1972
697596423848730625,1210,2903
697616773278015490,970,3039
697881462549430272,1112,2909
697943111201378304,646,2308
697990423684476929,1236,3172
697995514407682048,324,1467
698178924120031232,710,2725
698195409219559425,5719,16164
698262614669991936,1913,4609
698342080612007937,925,2188
698355670425473025,427,1787
698549713696649216,597,2241
698635131305795584,328,1256
698703483621523456,359,1400
698710712454139905,652,2385
698907974262222848,594,2448
698953797952008193,875,2589
698989035503689728,930,3224
699036661657767936,1153,2519
699072405256409088,1141,2865
699079609774645248,619,2363
699088579889332224,598,2174
699323444782047232,831,3045
699370870310113280,418,1830
699413908797464576,598,2018
699423671849451520,309,1314
699434518667751424,493,2100
699446877801091073,2514,5739
699691744225525762,4403,9923
699775878809702401,581,1891
699779630832685056,1188,2632
699788877217865730,491,2157
699801817392291840,911,2936
700002074055016451,1283,3193
700029284593901568,562,2007
700062718104104960,657,2554
700143752053182464,2599,7243
700151421916807169,643,2171
700167517596164096,700,2547
700462010979500032,1707,3976
700505138482569216,547,2211
700518061187723268,765,2519
700747788515020802,8880,21959
700796979434098688,899,2349
700847567345688576,481,2372
700864154249383937,599,2509
700890391244103680,543,2141
701214700881756160,4874,11765
701545186879471618,585,2573
701570477911896070,890,2718
701601587219795968,434,2023
701889187134500865,1332,3418
701952816642965504,983,3707
701981390485725185,943,3324
702217446468493312,1287,4614
702276748847800320,737,2382
702321140488925184,1007,3163
702539513671897089,918,2781
702598099714314240,3295,11798
702671118226825216,537,2119
702684942141153280,1025,3117
702932127499816960,689,2492
703041949650034688,11910,25356
703079050210877440,2955,7116
703268521220972544,520,1914
703356393781329922,369,1844
703382836347330562,1098,3381
703407252292673536,664,2354
703611486317502464,1461,3705
703631701117943808,640,2483
703769065844768768,1094,3152
703774238772166656,436,1779
704113298707505153,549,1789
704347321748819968,334,1521
704364645503647744,3403,7695
704480331685040129,1029,3271
704499785726889984,963,2801
704761120771465216,2791,6386
704819833553219584,939,2545
704847917308362754,1455,4884
704859558691414016,508,2170
705066031337840642,589,2114
705102439679201280,495,2066
705223444686888960,768,2496
705239209544720384,723,2891
705428427625635840,1599,3666
705442520700944385,1545,4243
705475953783398401,877,2856
705591895322394625,1101,3059
705898680587526145,527,2292
705970349788291072,856,3068
705975130514706432,698,2991
706166467411222528,1531,4967
706265994973601792,896,2640
706291001778950144,459,1648
706310011488698368,7565,20480
706346369204748288,889,3329
706516534877929472,986,3008
706538006853918722,1372,3355
706593038911545345,606,2079
706644897839910912,1047,2474
706681918348251136,939,3186
706901761596989440,559,1972
707014260413456384,574,2232
707021089608753152,1295,3943
707038192327901184,755,2109
707059547140169728,649,2499
707297311098011648,748,2689
707315916783140866,609,2385
707377100785885184,1038,3150
707387676719185920,1219,3361
707411934438625280,573,2220
707420581654872064,665,2174
707610948723478529,6067,16348
707693576495472641,953,3267
707741517457260545,586,2410
707776935007539200,918,3161
707969809498152960,919,2584
707995814724026368,1081,3013
708026248782585858,1841,4237
708109389455101952,533,1883
708119489313951744,937,2586
708130923141795840,821,3257
708149363256774660,1490,4143
708349470027751425,707,2265
708356463048204288,1260,3451
708469915515297792,783,2990
708479650088034305,647,2446
708711088997666817,686,2442
708738143638450176,780,2663
708810915978854401,6599,15858
708834316713893888,479,1624
708845821941387268,855,2872
709042156699303936,1561,4557
709158332880297985,393,1959
709207347839836162,5507,12006
709225125749587968,545,2325
709409458133323776,650,2538
709449600415961088,542,2127
709519240576036864,227,1442
709556954897764353,1024,3163
709566166965075968,1149,3412
709852847387627521,1151,3381
709901256215666688,98,641
709918798883774466,1039,3371
710117014656950272,1884,5252
710140971284037632,847,2646
710153181850935296,858,2810
710269109699739648,1071,2307
